name,provider_id,location,time_open,time_closed
Economics- and social science  building canteen,1,"Akadeemia tee 3
SOC- building",08:30:00 AM,06:30:00 PM
Library canteen,1,Akadeemia tee 1/Ehitajate tee 7,08:30:00 AM,07:00:00 PM
Main building Deli cafe,2,"Ehitajate tee 5
U01 building",09:00:00 AM,04:30:00 PM
Main building Daily lunch restaurant,2,"Ehitajate tee 5
U01 building",09:00:00 AM,04:30:00 PM
U06 building canteen,1,,09:00:00 AM,04:00:00 PM
Natural Science building canteen,2,"Akadeemia tee 15
SCI building",09:00:00 AM,04:00:00 PM
ICT building canteen,2,Raja 15/Mäepealse 1,09:00:00 AM,04:00:00 PM
Sports building canteen,3,"Männiliiva 7
S01 building",11:00:00 AM,08:00:00 PM
